SpeciesLatinName,Common.name,Kingdom,Phylum,Class,Order,Family,Genus,Species
Amazona oratrix,Yellow-headed parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,oratrix
Amazona rhodocorytha,Red-browed parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,rhodocorytha
Amazona versicolor,St. Lucia amazon,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,versicolor
Amazona viridigenalis,Red-crowned parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,viridigenalis
Amazona vittata,Puerto Rican amazon,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,vittata
Anodorhynchus glaucus,Glaucous macaw,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Anodorhynchus,glaucus
Anodorhynchus hyacinthinus,Hyacinth macaw,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Anodorhynchus,hyacinthinus
Anodorhynchus leari,Lear's macaw,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Anodorhynchus,leari
Aprosmictus erythropterus,Red-winged parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aprosmictus,erythropterus
Ara ambiguus,Great green macaw,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,ambiguus
Ara ararauna,Blue-and-yellow macaw,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,ararauna
Ara chloropterus,Red-and-green macaw,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,chloropterus
Ara glaucogularis,Blue-throated macaw,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,glaucogularis
Ara macao,Scarlet macaw,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,macao
Ara militaris,Military macaw,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris
Ara rubrogenys,Red-fronted macaw,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,rubrogenys
Ara severus,Chestnut-fronted macaw,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,severus
Aratinga acuticaudata,Blue-crowned parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,acuticaudata
Aratinga auricapillus,Golden-capped parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,auricapillus
Aratinga canicularis,Orange-fronted parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,canicularis
Aratinga chloroptera,Hispaniolan parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,chloroptera
Aratinga erythrogenys,Red-masked parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,erythrogenys
Aratinga holochlora,Green parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,holochlora
Barnardius zonarius,Port Lincoln ringneck,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Barnardius,zonarius
Bolborhynchus orbygnesius,Andean parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Bolborhynchus,orbygnesius
Brotogeris chiriri,Yellow-chevroned parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,chiriri
Brotogeris pyrrhoptera,Grey-cheeked parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,pyrrhoptera
Brotogeris sanctithomae,Tui parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,sanctithomae
Brotogeris tirica,Plain parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,tirica
Brotogeris versicolurus,Canary-winged parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,versicolurus
Cacatua alba,White cockatoo,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,alba
Cacatua ducorpsii,Ducorps's cockatoo,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,ducorpsii
Cacatua galerita,Sulphur-crested cockatoo,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,galerita
Cacatua goffiniana,Tanimbar cockatoo,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,goffiniana
Cacatua haematuropygia,Philippine cockatoo,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,haematuropygia
Cacatua leadbeateri,Pink cockatoo,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,leadbeateri
Cacatua moluccensis,Salmon-crested cockatoo,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,moluccensis
Cacatua ophthalmica,Blue-eyed cockatoo,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,ophthalmica
Cacatua pastinator,Western corella,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,pastinator
Cacatua sanguinea,Little corella,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,sanguinea
Cacatua sulphurea,Yellow-crested cockatoo,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,sulphurea
Cacatua tenuirostris,Long-billed corella,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,tenuirostris
Callocephalon fimbriatum,Gang-gang cockatoo,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Callocephalon,fimbriatum
Calyptorhynchus banksii,Banksian cockatoo,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Calyptorhynchus,banksii
Calyptorhynchus baudinii,Long-billed black cockatoo,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Calyptorhynchus,baudinii
Calyptorhynchus funereus,Yellow-tailed black cockatoo,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Calyptorhynchus,funereus
Calyptorhynchus lathami,Glossy black cockatoo,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Calyptorhynchus,lathami
Chalcopsitta atra,Black lory,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Chalcopsitta,atra
Chalcopsitta sintillata,Yellow-streaked lory,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Chalcopsitta,sintillata
Charmosyna papou,Papuan lorikeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Charmosyna,papou
Conuropsis carolinensis,Carolina parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Conuropsis,carolinensis
Coracopsis nigra,Black parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Coracopsis,nigra
Coracopsis vasa,Vasa parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Coracopsis,vasa
Cyanoliseus patagonus,Patagonian conure,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cyanoliseus,patagonus
Cyanopsitta spixii,Spix's macaw,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cyanopsitta,spixii
Cyanoramphus auriceps,Yellow-fronted parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cyanoramphus,auriceps
Cyanoramphus novaezelandiae,Red-fronted parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cyanoramphus,novaezelandiae
Deroptyus accipitrinus,Red-fan parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Deroptyus,accipitrinus
Diopsittaca nobilis,Red-shouldered macaw,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Diopsittaca,nobilis
Eclectus roratus,Eclectus parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Eclectus,roratus
Enicognathus leptorhynchus,Slender-billed parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Enicognathus,leptorhynchus
Eolophus roseicapilla,Galah,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Eolophus,roseicapilla
Eos bornea,Red lory,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Eos,bornea
Eos cyanogenia,Black-winged lory,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Eos,cyanogenia
Eos histrio,Red-and-blue lory,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Eos,histrio
Eos reticulata,Blue-streaked lory,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Eos,reticulata
Eos squamata,Violet-necked lory,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Eos,squamata
Eunymphicus cornutus,Horned parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Eunymphicus,cornutus
Forpus coelestis,Pacific parrotlet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Forpus,coelestis
Forpus cyanopygius,Mexican parrotlet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Forpus,cyanopygius
Forpus passerinus,Green-rumped parrotlet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Forpus,passerinus
Forpus xanthops,Yellow-faced parrotlet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Forpus,xanthops
Glossopsitta concinna,Musk lorikeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Glossopsitta,concinna
Glossopsitta porphyrocephala,Purple-crowned lorikeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Glossopsitta,porphyrocephala
Graydidascalus brachyurus,Short-tailed parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Graydidascalus,brachyurus
Guaruba guarouba,Golden conure,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Guaruba,guarouba
Loriculus galgulus,Blue-crowned hanging parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Loriculus,galgulus
Loriculus philippensis,Colasisi,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Loriculus,philippensis
Loriculus vernalis,Vernal hanging parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Loriculus,vernalis
Lorius domicella,Purple-naped lory,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Lorius,domicella
Lorius garrulus,Chattering lory,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Lorius,garrulus
Lorius lory,Black-capped lory,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Lorius,lory
Melopsittacus undulatus,Budgerigar,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Melopsittacus,undulatus
Myiopsitta monachus,Monk parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Myiopsitta,monachus
Nandayus nenday,Nanday parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Nandayus,nenday
Neophema chrysostoma,Blue-winged parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Neophema,chrysostoma
Neophema pulchella,Turquoise parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Neophema,pulchella
Neophema splendida,Scarlet-chested parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Neophema,splendida
Neopsephotus bourkii,Bourke's parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Neopsephotus,bourkii
Nestor meridionalis,Kaka,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Nestor,meridionalis
Nestor notabilis,Kea,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Nestor,notabilis
Northiella haematogaster,Bluebonnet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Northiella,haematogaster
Nymphicus hollandicus,Cockatiel,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Nymphicus,hollandicus
Phigys solitarius,Collared lory,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Phigys,solitarius
Pionites leucogaster,White-bellied parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pionites,leucogaster
Pionites melanocephalus,Black-headed parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pionites,melanocephalus
Pionopsitta pileata,Pileated parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pionopsitta,pileata
Pionus maximiliani,Scaly-headed parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pionus,maximiliani
Pionus menstruus,Blue-headed parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pionus,menstruus
Platycercus elegans,Crimson rosella,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Platycercus,elegans
Platycercus eximius,Eastern rosella,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Platycercus,eximius
Platycercus icterotis,Western rosella,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Platycercus,icterotis
Platycercus venustus,Northern rosella,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Platycercus,venustus
Poicephalus cryptoxanthus,Brown-headed parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,cryptoxanthus
Poicephalus gulielmi,Red-fronted parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,gulielmi
Poicephalus meyeri,Brown parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,meyeri
Poicephalus robustus,Brown-necked parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,robustus
Poicephalus rueppellii,Ruppel's parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,rueppellii
Poicephalus rufiventris,Red-bellied parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,rufiventris
Poicephalus senegalus,Senegal parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,senegalus
Polytelis alexandrae,Alexandra's parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Polytelis,alexandrae
Polytelis anthopeplus,Regent parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Polytelis,anthopeplus
Polytelis swainsonii,Superb parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Polytelis,swainsonii
Primolius maracana,Blue-winged macaw,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Primolius,maracana
Probosciger aterrimus,Palm cockatoo,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Probosciger,aterrimus
Prosopeia personata,Masked shining parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Prosopeia,personata
Prosopeia splendens,Crimson shining parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Prosopeia,splendens
Prosopeia tabuensis,Red shining parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Prosopeia,tabuensis
Psephotus dissimilis,Hooded parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psephotus,dissimilis
Psephotus haematonotus,Red-rumped parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psephotus,haematonotus
Psephotus varius,Mulga parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psephotus,varius
Pseudeos fuscata,Dusky lory,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pseudeos,fuscata
Psilopsiagon aymara,Grey-hooded parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psilopsiagon,aymara
Psittacula alexandri,Red-breasted parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacula,alexandri
Psittacula calthropae,Layard's parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacula,calthropae
Psittacula columboides,Malabar parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacula,columboides
Psittacula cyanocephala,Plum-headed parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacula,cyanocephala
Psittacula eupatria,Alexandrine parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacula,eupatria
Psittacula krameri,Rose-ringed parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacula,krameri
Psittaculirostris desmarestii,Large fig parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittaculirostris,desmarestii
Psittaculirostris edwardsii,Edward's fig parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittaculirostris,edwardsii
Psittaculirostris salvadorii,Salvadori's fig parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittaculirostris,salvadorii
Psittacus erithacus,Grey parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacus,erithacus
Psitteuteles goldiei,Goldie's lorikeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psitteuteles,goldiei
Psitteuteles iris,Iris lorikeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psitteuteles,iris
Psittinus cyanurus,Blue-rumped parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittinus,cyanurus
Psittrichas fulgidus,Pesquet's parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittrichas,fulgidus
Purpureicephalus spurius,Red-capped parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Purpureicephalus,spurius
Pyrrhura leucotis,White-eared conure,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pyrrhura,leucotis
Pyrrhura perlata,Crimson-bellied parakeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pyrrhura,perlata
Rhynchopsitta pachyrhyncha,Thick-billed parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Rhynchopsitta,pachyrhyncha
Strigops habroptila,Kakapo,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Strigops,habroptila
Tanygnathus megalorynchos,Great-billed parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Tanygnathus,megalorynchos
Tanygnathus sumatranus,Blue-backed parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Tanygnathus,sumatranus
Trichoglossus euteles,Olive-headed lorikeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Trichoglossus,euteles
Trichoglossus haematodus,Rainbow lorikeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Trichoglossus,haematodus
Trichoglossus johnstoniae,Mindanao lorikeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Trichoglossus,johnstoniae
Trichoglossus ornatus,Ornate lorikeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Trichoglossus,ornatus
Triclaria malachitacea,Blue-bellied parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Triclaria,malachitacea
Vini australis,Blue-crowned lorikeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Vini,australis
Vini peruviana,Blue lorikeet,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Vini,peruviana
Rhea americana,Greater rhea,Animalia,Chordata,Aves,Rheiformes,Rheidae,Rhea,americana
Aptenodytes forsteri,Emperor penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,forsteri
Aptenodytes patagonicus,King penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,patagonicus
Eudyptula minor,Little penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula,minor
Pygoscelis papua,Gentoo penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,papua
Spheniscus demersus,Jackass penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,demersus
Spheniscus humboldti,Humboldt penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,humboldti
Spheniscus magellanicus,Magellanic penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,magellanicus
Aegolius acadicus,Northern saw-whet owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Aegolius,acadicus
Aegolius funereus,Boreal owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Aegolius,funereus
Asio flammeus,Short-eared owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,flammeus
Asio otus,Long-eared owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,otus
Athene cunicularia,Burrowing owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,cunicularia
Athene noctua,Little owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,noctua
Bubo bubo,Eurasian eagle-owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,bubo
Bubo scandiacus,Snowy owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,scandiacus
Bubo virginianus,Great horned owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,virginianus
Glaucidium passerinum,Eurasian pygmy-owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Glaucidium,passerinum
Megascops asio,Eastern screech-owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Megascops,asio
Megascops kennicottii,Western screech-owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Megascops,kennicottii
Micrathene whitneyi,Elf owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Micrathene,whitneyi
Otus flammeolus,Flammulated owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,flammeolus
Otus scops,Common or Eurasian scops-owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,scops
Pulsatrix perspicillata,Spectacled owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Pulsatrix,perspicillata
Strix aluco,Tawny owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,aluco
Strix nebulosa,Great grey owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,nebulosa
Strix occidentalis,Spotted owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,occidentalis
Strix uralensis,Ural owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,uralensis
Strix varia,Barred owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,varia
Surnia ulula,Northern hawk-owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Surnia,ulula
Tyto alba,Barn owl,Animalia,Chordata,Aves,Strigiformes,Tytonidae,Tyto,alba
Struthio camelus,Ostrich,Animalia,Chordata,Aves,Struthioniformes,Struthionidae,Struthio,camelus
Anhinga anhinga,Anhinga,Animalia,Chordata,Aves,Suliformes,Anhingidae,Anhinga,anhinga
Anhinga melanogaster,Darter,Animalia,Chordata,Aves,Suliformes,Anhingidae,Anhinga,melanogaster
Fregata andrewsi,Christmas Island frigatebird,Animalia,Chordata,Aves,Suliformes,Fregatidae,Fregata,andrewsi
Fregata ariel,Lesser frigatebird,Animalia,Chordata,Aves,Suliformes,Fregatidae,Fregata,ariel
Fregata magnificens,Magnificent frigatebird,Animalia,Chordata,Aves,Suliformes,Fregatidae,Fregata,magnificens
Fregata minor,Great frigatebird,Animalia,Chordata,Aves,Suliformes,Fregatidae,Fregata,minor
Phalacrocorax aristotelis,European shag,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,aristotelis
Phalacrocorax auritus,Double-crested cormorant,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,auritus
Phalacrocorax brasilianus,Neotropic cormorant,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,brasilianus
Phalacrocorax carbo,Great cormorant,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,carbo
Phalacrocorax pelagicus,Pelagic cormorant,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,pelagicus
Phalacrocorax penicillatus,Brandt's cormorant,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,penicillatus
Morus bassanus,Northern gannet,Animalia,Chordata,Aves,Suliformes,Sulidae,Morus,bassanus
Morus serrator,Australasian gannet,Animalia,Chordata,Aves,Suliformes,Sulidae,Morus,serrator
Sula dactylatra,Masked booby,Animalia,Chordata,Aves,Suliformes,Sulidae,Sula,dactylatra
Sula granti,Nazca booby,Animalia,Chordata,Aves,Suliformes,Sulidae,Sula,granti
Sula leucogaster,Brown booby,Animalia,Chordata,Aves,Suliformes,Sulidae,Sula,leucogaster
Sula nebouxii,Blue-footed booby,Animalia,Chordata,Aves,Suliformes,Sulidae,Sula,nebouxii
Sula sula,Red-footed booby,Animalia,Chordata,Aves,Suliformes,Sulidae,Sula,sula
Tinamus solitarius,Solitary tinamou,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Tinamus,solitarius
Caspiomyzon wagneri,Volga lamprey,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Caspiomyzon,wagneri
Entosphenus tridentatus,Pacific lamprey,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Entosphenus,tridentatus
Eudontomyzon danfordi,Carpathian lamprey,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Eudontomyzon,danfordi
Eudontomyzon mariae,Ukrainian brook lamprey,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Eudontomyzon,mariae
Ichthyomyzon castaneus,Chestnut lamprey,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Ichthyomyzon,castaneus
Ichthyomyzon greeleyi,Mountain brook lamprey,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Ichthyomyzon,greeleyi
Ichthyomyzon unicuspis,Silver lamprey,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Ichthyomyzon,unicuspis
Lampetra aepyptera,Least brook lamprey,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,aepyptera
Lampetra fluviatilis,European river lamprey,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,fluviatilis
Lampetra planeri,European brook lamprey,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,planeri
Lethenteron appendix,American brook lamprey,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lethenteron,appendix
Lethenteron camtschaticum,Arctic lamprey,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lethenteron,camtschaticum
Lethenteron kessleri,Siberian brook lamprey,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lethenteron,kessleri
Lethenteron reissneri,Far eastern brook lamprey,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lethenteron,reissneri
Lethenteron zanandreai,Po brook lamprey,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lethenteron,zanandreai
Petromyzon marinus,Sea lamprey,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Petromyzon,marinus
Carcharhinus acronotus,Blacknose shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,acronotus
Carcharhinus amblyrhynchos,Grey reef shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,amblyrhynchos
Carcharhinus brachyurus,Copper shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,brachyurus
Carcharhinus brevipinna,Spinner shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,brevipinna
Carcharhinus cautus,Nervous shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,cautus
Carcharhinus falciformis,Silky shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,falciformis
Carcharhinus galapagensis,Galapagos shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,galapagensis
Carcharhinus isodon,Finetooth shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,isodon
