"","B","NK","CD4T","CD8T","Mono","Neutro","Eosino"
"GSM1007186",0.00399553153551494,0.0303657404029581,0.0894100574736432,0.00920179177341137,0,0.867026878814472,0
"GSM1007187",0,0.0583711868638207,0.113493150147364,0,0.0165088068137692,0.811626856175046,0
"GSM1007188",0,0.119176406455702,0.133791993161614,0,0,0.747031600382684,0
"GSM1007189",0,0.0954263413391228,0.317264214515332,0.0309799001428015,0.0506277112150166,0.505701832787728,0
"GSM1007190",0,0,0.108068857480065,0.18496678416259,0.051322768274469,0.655641590082876,0
"GSM1007191",0.00867362090934815,0.081000401876197,0.203567583581118,0.127875961336714,0.000628684602213588,0.57825374769441,0
"GSM1007192",0.00195973307017872,0.00600159205707948,0.0923727546387632,0.140644369638439,0,0.759021550595539,0
"GSM1007193",0,0.0198083914410844,0,0.0602371355013989,0,0.919954473057517,0
"GSM1007194",0.0242651395183595,0.0497284555875742,0.154882158238897,0.0186173683078838,0,0.752506878347286,0
"GSM1007195",0,0.0605564337115028,0.140409062874116,0,0,0.799034503414381,0
"GSM1007196",0,0,0,0.116662948895931,0,0.883337051104069,0
"GSM1007197",0,0,0,0.161426458737311,0,0.838573541262689,0
"GSM1007198",0,0,0.064271422648369,0.104897452734968,0,0.830831124616663,0
"GSM1007199",0,0.00164768284614659,0.137310635514334,0.0975831302781153,0,0.763458551361404,0
"GSM1007200",0,0.103942995485732,0.231610882173343,0.0601946607512917,0.0292197214307699,0.575031740158863,0
"GSM1007201",0,0.133557409366808,0.153308207159011,0.00486841533696682,0,0.708265968137215,0
"GSM1007202",0.0233444443407656,0,0,0.32361404127601,0.03728383334048,0.615757681042745,0
"GSM1007203",0,0.0344114531448401,0.188518324158047,0.0270784871245934,0,0.74999173557252,0
"GSM1007204",0.0258571902268691,0.0888997357027234,0.117892931667893,0.178975118416505,0,0.588375023986009,0
"GSM1007205",0.00674255912819394,0.0469162167467158,0.129238654024385,0,0,0.817102570100706,0
"GSM1007206",0,0.20523426529001,0.242874127345149,0,0,0.544684533711924,0.00720707365291628
"GSM1007207",0,0,0.205087668667268,0.180709464454276,0.0256601744005785,0.588542692477878,0
"GSM1007208",0,0.0582816251841891,0.0772606977588184,0,0,0.864457677056992,0
"GSM1007209",0,0.0719858094680253,0.116917080483181,0.0553690254650675,0,0.755728084583727,0
"GSM1007210",0,0.00308761169090922,0,0.104301824389108,0.0187550861527946,0.873855477767188,0
"GSM1007211",0.00737822266707163,0.0443602168397258,0.113539393094958,0.132807409688591,0.00382752713060367,0.69808723057905,0
"GSM1007212",0,0.037640256230852,0.197777745224505,0.0550973840174576,0.00903872723187574,0.700445887295309,0
"GSM1007213",0.018521692798946,0.0358080233045703,0.126254355823725,0,0,0.819415928072759,0
"GSM1007214",0,0.0600040274906534,0.168306228263418,0.0104386275684661,0,0.761251116677462,0
"GSM1007215",0,0.0498230821564424,0.085140199637626,0,0,0.865036718205932,0
"GSM1007216",0,0,0,0.202230679218034,0,0.797769320781966,0
"GSM1007217",0.0217162821820656,0.0362235832734536,0.169811668280024,0.0195213154463193,0,0.752727150818138,0
"GSM1007218",0,0,0.0151113270156399,0.0442715501657752,0,0.940617122818585,0
"GSM1007219",0.0310275448361677,0,0.0554852650657793,0.190095300504073,0.0168905549803338,0.706501334613646,0
"GSM1007220",0.0168176621587555,0,0.171249392866167,0.295938147116835,0.00606401901879311,0.50993077883945,0
"GSM1007221",0,0,0,0.177959137199196,0,0.822040862800804,0
"GSM1007222",0.0129045852781447,0.048201492102386,0.119766399268241,0,0,0.819127523351228,0
"GSM1007223",0,0.0317427940045304,0.0896043240785892,0,0,0.87865288191688,0
"GSM1007224",0,0.0288747512190472,0.0664902630204025,0,0,0.90463498576055,0
"GSM1007225",0,0.0647038755223501,0.0588104703138821,0.190457057919328,0,0.686028596244439,0
"GSM1007226",0,0,0.0329911067028884,0.192183473020082,0.0266631749204528,0.748162245356576,0
"GSM1007227",0,0.0654724410397125,0.110273398639119,0,0,0.824254160321169,0
"GSM1007228",0,0.0316295801769298,0.156778410077816,0.0151993602649851,0,0.796392649480269,0
"GSM1007229",0,0.0308018490537648,0.138125163480246,0.0157089196998753,0.0413356208137856,0.774028446952329,0
"GSM1007230",0,0.0583285166569421,0.126673883888574,0,0,0.814997599454484,0
"GSM1007231",0,0,0.0702791286074122,0.135501012415241,0,0.794219858977346,0
"GSM1007232",0,0.0810046900797623,0.100062143917165,0.014848872108185,0.0145414014339875,0.7895428924609,0
"GSM1007233",0,0.0269710928604313,0.148447505931876,0.0559192500677939,0,0.768662151139898,0
"GSM1007234",0.0133757947573109,0.0826847602794908,0.0512453530194822,0.0270048172453876,0,0.825689274698328,0
"GSM1007235",0,0,0,0.156068729844888,0,0.843931270155112,0
"GSM1007236",0.000939964798714705,0.062085820847479,0.144187908644344,0.0373702221939326,0.01073633992829,0.74467974358724,0
"GSM1007237",0.168773751963513,0.312087311543673,0.346591294002943,0,0,0,0.172547642489871
"GSM1007238",0,0,0.0612050149792645,0.064581359597065,0,0.87421362542367,0
"GSM1007239",0,0.0212088098269951,0.14186990441148,0.00243563055415301,0,0.834485655207372,0
"GSM1007240",0,0.0640318868752199,0.0531093088013546,0.087489043108558,0,0.795369761214868,0
"GSM1007241",0,0.062572683824031,0.0947599630302318,0.0318393282575052,0,0.810828024888232,0
"GSM1007242",0.0283692859823451,0,0,0.216758861226427,0.000858429359777402,0.75401342343145,0
"GSM1007243",0,0.0543025965324716,0.194902995234531,0.0283366519688602,0.0065651638023264,0.715892592461811,0
"GSM1007244",0.0124312314462058,0.0202924880743637,0.0853268072507668,0.0442744313701515,0,0.837675041858512,0
